kode_wilayah,provinsi,kabupaten,kecamatan,desa,latitude,longitude,elevasi
35.02.03.2016,,,,sambilawang,,,
35.02.03.2017,,,,kwajon,,,
35.02.03.2018,,,,bediwetan,,,
35.02.03.2019,,,,bedikulon,,,
35.02.04,,,,sambit,,,
35.02.04.2001,,,,gajah,,,
35.02.04.2002,,,,wringinanom,,,
35.02.04.2003,,,,ngadisanan,,,
35.02.04.2004,,,,maguwan,,,
35.02.04.2005,,,,nglewan,,,
35.02.04.2006,,,,bedingin,,,
35.02.04.2007,,,,bancangan,,,
35.02.04.2008,,,,campurejo,,,
35.02.04.2009,,,,campursari,,,
35.02.04.2010,,,,bulu,,,
35.02.04.2011,,,,sambit,,,
35.02.04.2012,,,,besuki,,,
35.02.04.2013,,,,wilangan,,,
35.02.04.2014,,,,bangsalan,,,
35.02.04.2015,,,,kemuning,,,
35.02.04.2016,,,,jrakah,,,
35.02.05,,,,sawoo,,,
35.02.05.2001,,,,tumpuk,,,
35.02.05.2002,,,,pangkal,,,
35.02.05.2003,,,,tumpak pelem,,,
35.02.05.2004,,,,tempuran,,,
35.02.05.2005,,,,sriti,,,
35.02.05.2006,,,,temon,,,
35.02.05.2007,,,,sawoo,,,
35.02.05.2008,,,,prayungan,,,
35.02.05.2009,,,,tugurejo,,,
35.02.05.2010,,,,grogol,,,
35.02.05.2011,,,,ketro,,,
35.02.05.2012,,,,kori,,,
35.02.05.2013,,,,bondrang,,,
35.02.05.2014,,,,ngindeng,,,
35.02.06,,,,sooko,,,
35.02.06.2001,,,,ngadirojo,,,
35.02.06.2002,,,,klepu,,,
35.02.06.2003,,,,suru,,,
35.02.06.2004,,,,sooko,,,
35.02.06.2005,,,,bedoho,,,
35.02.06.2006,,,,jurug,,,
35.02.07,,,,pulung,,,
35.02.07.2001,,,,karangpatihan,,,
35.02.07.2002,,,,tegalrejo,,,
35.02.07.2003,,,,bedrug,,,
35.02.07.2004,,,,wagir kidul,,,
35.02.07.2005,,,,singgahan,,,
35.02.07.2006,,,,patik,,,
35.02.07.2007,,,,pulung,,,
35.02.07.2008,,,,pulung merdiko,,,
35.02.07.2009,,,,sidoharjo,,,
35.02.07.2010,,,,wotan,,,
35.02.07.2011,,,,plunturan,,,
35.02.07.2012,,,,pomahan,,,
35.02.07.2013,,,,kesugihan,,,
35.02.07.2014,,,,serag,,,
35.02.07.2015,,,,wayang,,,
35.02.07.2016,,,,munggung,,,
35.02.07.2017,,,,bekiring,,,
35.02.07.2018,,,,banaran,,,
35.02.08,,,,mlarak,,,
35.02.08.2001,,,,tugu,,,
35.02.08.2002,,,,candi,,,
35.02.08.2003,,,,totokan,,,
35.02.08.2004,,,,ngrukem,,,
35.02.08.2005,,,,siwalan,,,
35.02.08.2006,,,,joresan,,,
35.02.08.2007,,,,nglumpang,,,
